City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
,60.1432,,-6.27,,,,,
,38.7333,,16.67,,,,,
,30.0502,,18.89,,,,,
,11.2833,,25.51,,,,,
,34.6391,,27.22,,,,,
,21.4267,,21.34,,,,,
,-9.4431,,24.0,,,,,
,69.4058,,-32.6,,,,,
,-23.3733,,25.0,,,,,
,50.6996,,7.0,,,,,
,32.767,,13.85,,,,,
,65.5833,,-23.22,,,,,
,17.4842,,23.51,,,,,
,32.6881,,5.43,,,,,
,-10.6167,,28.81,,,,,
,59.7035,,-12.78,,,,,
,3.2499,,30.0,,,,,
,70.4692,,-17.0,,,,,
,48.0448,,-13.0,,,,,
,70.2396,,2.0,,,,,
,36.4681,,9.0,,,,,
,58.5169,,-5.0,,,,,
,69.3833,,-28.51,,,,,
,-20.3428,,27.22,,,,,
,46.4333,,-10.0,,,,,
,21.4022,,26.0,,,,,
,14.8961,,22.19,,,,,
,2.3,,23.0,,,,,
,14.8888,,27.0,,,,,
,41.3042,,0.0,,,,,
,-11.7358,,17.35,,,,,
,18.3851,,13.0,,,,,
,34.257,,6.0,,,,,
,-2.99,,30.0,,,,,
,-20.2333,,27.74,,,,,
,21.1097,,32.0,,,,,
,-8.8368,,26.0,,,,,
,65.5333,,-23.32,,,,,
,9.3328,,31.79,,,,,
,10.9995,,23.63,,,,,
,27.9054,,18.0,,,,,
,-3.432,,25.73,,,,,
,27.6867,,0.05,,,,,
,62.1564,,5.0,,,,,
,-15.5333,,25.4,,,,,
,-38.35,,13.89,,,,,
,51.15,,-1.11,,,,,
,58.3019,,6.0,,,,,
,-2.8856,,27.24,,,,,
,58.3578,,-16.13,,,,,
,46.4154,,0.56,,,,,
,-11.0964,,23.58,,,,,
,-21.6667,,25.81,,,,,
,14.35,,25.0,,,,,
,-19.0595,,29.0,,,,,
,-38.0167,,12.0,,,,,
,-36.3667,,12.0,,,,,
,58.0458,,-11.26,,,,,
,71.6872,,-26.6,,,,,
,25.2919,,19.39,,,,,
,16.45,,19.92,,,,,
,51.1801,,-9.0,,,,,
,-45.8667,,21.0,,,,,
,23.7434,,13.61,,,,,
,40.5982,,9.0,,,,,
,-11.3847,,27.08,,,,,
,-40.8135,,17.78,,,,,
,28.4008,,19.0,,,,,
,-2.5744,,28.11,,,,,
,25.8,,6.65,,,,,
,37.7333,,16.67,,,,,
,5.3833,,26.28,,,,,
,-23.943,,24.0,,,,,
,24.0934,,13.58,,,,,
,55.1001,,-3.0,,,,,
,-17.2614,,24.17,,,,,
,41.6376,,8.0,,,,,
,26.326,,16.0,,,,,
,9.5357,,26.32,,,,,
,47.4235,,3.33,,,,,
,63.7506,,-17.78,,,,,
,60.8004,,-20.0,,,,,
,61.0749,,-17.57,,,,,
,52.7,,-26.92,,,,,
,51.682,,7.0,,,,,
,29.85,,10.53,,,,,
,47.1333,,-21.72,,,,,
,47.6469,,-4.69,,,,,
